customer_id,age,gender,city,state,city_tier,occupation,monthly_income,cricket_interest_score,favorite_ipl_team,favorite_player,,preferred_streaming_platform,fantasy_cricket_user,sports_equipment_spending_per_month,preferred_shopping_platform,cricket_search_frequency_per_month,device_type,digital_engagement_score,likely_to_buy_cricket_kit
CUST0001,21,Male,Mumbai,Maharashtra,Tier 1,Student,18000,8.7,Mumbai Indians,Rohit Sharma,6,JioHotstar,Yes,2400,Amazon,22,Mobile,84.2,Yes
CUST0002,34,Female,Bengaluru,Karnataka,Tier 1,Working Professional,72000,6.2,Royal Challengers Bengaluru,Virat Kohli,4,TV,No,1200,Flipkart,10,Laptop,62.8,No
CUST0003,18,Male,Hyderabad,Telangana,Tier 1,Student,12000,9.1,Sunrisers Hyderabad,Pat Cummins,7,JioHotstar,Yes,3100,Amazon,28,Mobile,91.3,Yes
CUST0004,42,Male,Jaipur,Rajasthan,Tier 2,Business,98000,5.4,Rajasthan Royals,Sanju Samson,3,TV,No,1800,Local Store,7,Smart TV,48.9,No
CUST0005,27,Female,Pune,Maharashtra,Tier 1,Working Professional,56000,7.5,Chennai Super Kings,MS Dhoni,5,JioHotstar,Yes,2200,Amazon,16,Mobile,76.4,Yes
CUST0006,23,Male,Lucknow,Uttar Pradesh,Tier 2,Athlete,28000,8.9,Lucknow Super Giants,KL Rahul,6,JioHotstar,Yes,4200,Brand Website,24,Mobile,88.1,Yes
CUST0007,31,Male,Delhi,Delhi,Tier 1,Working Professional,65000,4.8,Delhi Capitals,Rishabh Pant,2,TV,No,900,Flipkart,5,Laptop,44.7,No
CUST0008,16,Female,Indore,Madhya Pradesh,Tier 2,Student,8000,7.9,Royal Challengers Bengaluru,Virat Kohli,6,YouTube Highlights,Yes,1400,Amazon,18,Mobile,79.5,Yes
CUST0009,38,Male,Chennai,Tamil Nadu,Tier 1,Coach,85000,8.1,Chennai Super Kings,Ravindra Jadeja,5,TV,No,5100,Brand Website,14,Smart TV,68.2,Yes
CUST0010,25,Male,Ahmedabad,Gujarat,Tier 1,Working Professional,47000,6.8,Gujarat Titans,Shubman Gill,4,JioHotstar,Yes,2500,Amazon,13,Mobile,71.6,Yes
CUST0011,29,Female,Kolkata,West Bengal,Tier 1,Working Professional,53000,5.9,Kolkata Knight Riders,Andre Russell,3,JioHotstar,No,1500,Flipkart,8,Laptop,58.1,No
CUST0012,19,Male,Patna,Bihar,Tier 2,Student,11000,9.4,Mumbai Indians,Jasprit Bumrah,7,JioHotstar,Yes,2700,Amazon,31,Mobile,94.5,Yes
CUST0013,45,Male,Nagpur,Maharashtra,Tier 2,Business,125000,4.2,Chennai Super Kings,MS Dhoni,1,TV,No,800,Local Store,3,Smart TV,36.9,No
CUST0014,26,Female,Surat,Gujarat,Tier 2,Working Professional,48000,7.1,Rajasthan Royals,Yashasvi Jaiswal,5,JioHotstar,Yes,2300,Flipkart,15,Mobile,74.2,Yes
CUST0015,22,Male,Kanpur,Uttar Pradesh,Tier 2,Student,15000,8.5,Lucknow Super Giants,Nicholas Pooran,6,JioHotstar,Yes,1800,Amazon,20,Mobile,82.3,Yes
CUST0016,36,Female,Bhopal,Madhya Pradesh,Tier 2,Coach,62000,6.3,Royal Challengers Bengaluru,Faf du Plessis,4,TV,No,2900,Brand Website,11,Laptop,59.8,No
CUST0017,28,Male,Chandigarh,Chandigarh,Tier 1,Working Professional,59000,7.8,Punjab Kings,Shikhar Dhawan,5,JioHotstar,Yes,2600,Amazon,19,Mobile,80.7,Yes
CUST0018,41,Male,Visakhapatnam,Andhra Pradesh,Tier 2,Business,104000,5.1,Sunrisers Hyderabad,Heinrich Klaasen,2,TV,No,1600,Local Store,6,Smart TV,46.3,No
CUST0019,17,Male,Coimbatore,Tamil Nadu,Tier 2,Student,7000,8.8,Chennai Super Kings,MS Dhoni,7,JioHotstar,Yes,2100,Amazon,25,Mobile,89.7,Yes
CUST0020,33,Female,Kochi,Kerala,Tier 2,Working Professional,68000,6.5,Mumbai Indians,Suryakumar Yadav,4,JioHotstar,No,1900,Flipkart,9,Laptop,63.4,No
CUST0021,24,Male,Noida,Uttar Pradesh,Tier 1,Athlete,32000,9.2,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,5300,Brand Website,29,Mobile,93.8,Yes
CUST0022,39,Female,Raipur,Chhattisgarh,Tier 2,Business,91000,4.9,Delhi Capitals,David Warner,2,TV,No,1200,Local Store,4,Smart TV,41.7,No
CUST0023,20,Male,Vadodara,Gujarat,Tier 2,Student,10000,8.4,Gujarat Titans,Rashid Khan,6,YouTube Highlights,Yes,1700,Amazon,21,Mobile,81.1,Yes
CUST0024,27,Male,Delhi,Delhi,Tier 1,Working Professional,61000,7.0,Kolkata Knight Riders,Rinku Singh,5,JioHotstar,Yes,2400,Amazon,14,Laptop,75.6,Yes
CUST0025,52,Male,Ludhiana,Punjab,Tier 2,Business,135000,3.8,Punjab Kings,Arshdeep Singh,1,TV,No,700,Local Store,2,Smart TV,33.5,No
CUST0026,30,Female,Thane,Maharashtra,Tier 1,Working Professional,58000,6.9,Mumbai Indians,Hardik Pandya,4,JioHotstar,No,2100,Flipkart,12,Mobile,67.8,No
CUST0027,18,Male,Guwahati,Assam,Tier 2,Student,9000,9.3,Rajasthan Royals,Jos Buttler,7,JioHotstar,Yes,2500,Amazon,30,Mobile,95.1,Yes
CUST0028,35,Male,Ranchi,Jharkhand,Tier 2,Coach,72000,7.4,Chennai Super Kings,MS Dhoni,5,TV,No,4500,Brand Website,13,Smart TV,66.9,Yes
CUST0029,23,Female,Mysuru,Karnataka,Tier 2,Student,14000,7.7,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,1600,Amazon,17,Mobile,78.6,Yes
CUST0030,44,Male,Nashik,Maharashtra,Tier 2,Business,112000,5.6,Mumbai Indians,Rohit Sharma,3,TV,No,1400,Local Store,5,Smart TV,49.1,No
CUST0031,26,Male,Hyderabad,Telangana,Tier 1,Working Professional,54000,8.0,Sunrisers Hyderabad,Travis Head,6,JioHotstar,Yes,3200,Amazon,22,Mobile,86.4,Yes
CUST0032,32,Female,Bhubaneswar,Odisha,Tier 2,Working Professional,49000,6.1,Kolkata Knight Riders,Sunil Narine,4,YouTube Highlights,No,1800,Flipkart,9,Laptop,57.2,No
CUST0033,15,Male,Varanasi,Uttar Pradesh,Tier 3,Student,6000,8.9,Chennai Super Kings,Ruturaj Gaikwad,7,JioHotstar,Yes,1200,Amazon,24,Mobile,88.5,Yes
CUST0034,37,Male,Amritsar,Punjab,Tier 2,Business,88000,5.7,Punjab Kings,Liam Livingstone,3,TV,No,2100,Local Store,6,Smart TV,51.3,No
CUST0035,29,Female,Mumbai,Maharashtra,Tier 1,Working Professional,79000,7.3,Mumbai Indians,Jasprit Bumrah,5,JioHotstar,Yes,2600,Amazon,18,Laptop,79.2,Yes
CUST0036,22,Male,Patiala,Punjab,Tier 2,Athlete,26000,9.0,Punjab Kings,Arshdeep Singh,6,JioHotstar,Yes,4800,Brand Website,27,Mobile,90.7,Yes
CUST0037,40,Female,Meerut,Uttar Pradesh,Tier 2,Coach,67000,6.0,Delhi Capitals,Rishabh Pant,4,TV,No,3100,Brand Website,10,Smart TV,55.8,No
CUST0038,19,Male,Agra,Uttar Pradesh,Tier 2,Student,9000,8.6,Rajasthan Royals,Yuzvendra Chahal,6,JioHotstar,Yes,1500,Amazon,23,Mobile,84.9,Yes
CUST0039,28,Male,Chennai,Tamil Nadu,Tier 1,Working Professional,63000,7.2,Chennai Super Kings,MS Dhoni,5,JioHotstar,Yes,2800,Flipkart,16,Mobile,77.1,Yes
CUST0040,48,Female,Aurangabad,Maharashtra,Tier 2,Business,97000,4.4,Sunrisers Hyderabad,Pat Cummins,2,TV,No,1300,Local Store,4,Smart TV,39.4,No
