engagement_id,customer_id,favorite_match_type,average_match_watch_time_minutes,matches_watched_per_season,preferred_ad_format,ad_click_rate,sports_content_watch_hours_per_week,engagement_during_csk_matches,engagement_during_rcb_matches,engagement_during_mi_matches,streaming_device_preference,second_screen_usage,social_media_activity_during_matches,engagement_potential_score
ENG000001,CUST0001,Rivalry Match,182,61,Short Reel,0.29,18.5,91,95,88,Mobile,Yes,High,93.4
ENG000002,CUST0002,League Match,124,39,Video Ad,0.14,8.2,67,61,59,Laptop,No,Medium,64.2
ENG000003,CUST0003,Playoffs,211,72,Influencer Promotion,0.32,21.4,94,92,90,Mobile,Yes,High,96.7
ENG000004,CUST0004,League Match,97,26,Banner Ad,0.07,4.3,52,48,46,Smart TV,No,Low,48.9
ENG000005,CUST0005,Finals,238,76,Short Reel,0.34,24.1,98,96,94,Mobile,Yes,High,98.1
ENG000006,CUST0006,League Match,146,43,Video Ad,0.16,9.5,69,71,66,Laptop,No,Medium,68.5
ENG000007,CUST0007,Rivalry Match,193,64,Short Reel,0.31,19.7,92,96,89,Mobile,Yes,High,94.6
ENG000008,CUST0008,League Match,165,41,Video Ad,0.13,7.9,63,58,61,Smart TV,No,Low,60.4
ENG000009,CUST0009,Playoffs,201,69,Influencer Promotion,0.28,18.9,90,93,88,Mobile,Yes,High,92.5
ENG000010,CUST0010,League Match,88,21,Banner Ad,0.05,3.2,44,49,42,Laptop,No,Low,43.8
ENG000011,CUST0011,Rivalry Match,175,58,Short Reel,0.27,16.3,87,91,85,Mobile,Yes,High,89.7
ENG000012,CUST0012,League Match,132,37,Video Ad,0.12,6.7,61,57,59,Smart TV,No,Medium,58.3
ENG000013,CUST0013,Playoffs,220,74,Influencer Promotion,0.33,22.5,96,94,92,Mobile,Yes,High,97.5
ENG000014,CUST0014,League Match,104,29,Banner Ad,0.08,4.6,55,52,49,Laptop,No,Low,50.2
ENG000015,CUST0015,Finals,231,78,Short Reel,0.35,25.3,99,97,95,Mobile,Yes,High,99.1
ENG000016,CUST0016,Rivalry Match,184,62,Video Ad,0.19,11.2,84,89,83,Laptop,Yes,Medium,85.4
ENG000017,CUST0017,League Match,143,42,Influencer Promotion,0.15,8.8,66,68,63,Mobile,Yes,Medium,66.9
ENG000018,CUST0018,League Match,112,31,Banner Ad,0.09,5.1,57,55,53,Smart TV,No,Low,53.7
ENG000019,CUST0019,Playoffs,214,71,Short Reel,0.30,20.2,93,95,91,Mobile,Yes,High,95.1
ENG000020,CUST0020,League Match,95,24,Banner Ad,0.06,3.8,48,46,44,Laptop,No,Low,45.5
ENG000021,CUST0021,Rivalry Match,178,57,Video Ad,0.21,12.4,86,88,84,Smart TV,Yes,Medium,86.2
ENG000022,CUST0022,League Match,149,45,Influencer Promotion,0.17,9.6,70,72,68,Mobile,Yes,Medium,70.8
ENG000023,CUST0023,Finals,240,79,Short Reel,0.34,24.9,97,98,96,Mobile,Yes,High,98.7
ENG000024,CUST0024,League Match,107,28,Banner Ad,0.08,4.2,54,50,51,Laptop,No,Low,49.6
ENG000025,CUST0025,Playoffs,206,68,Video Ad,0.26,17.5,89,91,87,Smart TV,Yes,High,91.3
ENG000026,CUST0026,Rivalry Match,189,63,Short Reel,0.29,18.8,91,94,89,Mobile,Yes,High,93.8
ENG000027,CUST0027,League Match,138,40,Influencer Promotion,0.14,7.4,64,66,62,Laptop,No,Medium,63.5
ENG000028,CUST0028,League Match,101,27,Banner Ad,0.07,4.0,53,51,47,Smart TV,No,Low,48.7
ENG000029,CUST0029,Finals,228,75,Short Reel,0.33,23.1,95,97,94,Mobile,Yes,High,97.9
ENG000030,CUST0030,Rivalry Match,171,56,Video Ad,0.22,13.7,85,87,82,Laptop,Yes,Medium,84.6
ENG000031,CUST0031,League Match,145,41,Influencer Promotion,0.16,8.9,68,65,66,Mobile,Yes,Medium,67.2
ENG000032,CUST0032,League Match,109,30,Banner Ad,0.09,5.3,56,53,52,Smart TV,No,Low,52.9
ENG000033,CUST0033,Playoffs,216,73,Short Reel,0.31,21.1,94,96,92,Mobile,Yes,High,96.0
ENG000034,CUST0034,League Match,93,23,Banner Ad,0.05,3.4,46,45,43,Laptop,No,Low,44.1
ENG000035,CUST0035,Finals,236,77,Short Reel,0.35,25.0,99,98,97,Mobile,Yes,High,99.4
ENG000036,CUST0036,Rivalry Match,180,60,Video Ad,0.24,15.1,88,90,86,Smart TV,Yes,High,89.8
ENG000037,CUST0037,League Match,136,38,Influencer Promotion,0.13,7.0,62,64,61,Laptop,No,Medium,61.7
ENG000038,CUST0038,League Match,116,32,Banner Ad,0.10,5.7,58,56,54,Smart TV,No,Low,54.9
ENG000039,CUST0039,Playoffs,209,70,Short Reel,0.28,19.4,92,94,90,Mobile,Yes,High,94.3
ENG000040,CUST0040,League Match,99,25,Banner Ad,0.06,3.9,49,47,45,Laptop,No,Low,46.0
ENG000041,CUST0041,Rivalry Match,186,61,Video Ad,0.23,14.5,87,89,85,Smart TV,Yes,Medium,87.6
ENG000042,CUST0042,League Match,141,43,Influencer Promotion,0.15,8.3,65,67,64,Mobile,Yes,Medium,65.8
ENG000043,CUST0043,Finals,233,76,Short Reel,0.34,24.4,98,97,95,Mobile,Yes,High,98.3
ENG000044,CUST0044,League Match,105,29,Banner Ad,0.08,4.5,55,52,50,Laptop,No,Low,50.6
ENG000045,CUST0045,Playoffs,203,67,Video Ad,0.25,17.0,88,90,86,Smart TV,Yes,High,90.5
ENG000046,CUST0046,Rivalry Match,192,65,Short Reel,0.30,19.9,93,95,91,Mobile,Yes,High,95.0
ENG000047,CUST0047,League Match,139,39,Influencer Promotion,0.14,7.6,63,65,62,Laptop,No,Medium,62.8
ENG000048,CUST0048,League Match,111,31,Banner Ad,0.09,5.0,57,54,53,Smart TV,No,Low,53.4
ENG000049,CUST0049,Finals,226,74,Short Reel,0.32,22.8,95,96,94,Mobile,Yes,High,97.1
ENG000050,CUST0050,Rivalry Match,174,57,Video Ad,0.20,12.9,84,86,83,Laptop,Yes,Medium,83.9
ENG000051,CUST0051,League Match,147,44,Influencer Promotion,0.16,9.2,69,70,67,Mobile,Yes,Medium,69.4
ENG000052,CUST0052,League Match,114,33,Banner Ad,0.10,5.6,58,55,54,Smart TV,No,Low,55.1
ENG000053,CUST0053,Playoffs,218,72,Short Reel,0.31,20.8,94,95,93,Mobile,Yes,High,96.2
ENG000054,CUST0054,League Match,96,24,Banner Ad,0.06,3.5,47,46,44,Laptop,No,Low,44.9
ENG000055,CUST0055,Finals,239,78,Short Reel,0.35,25.5,99,98,96,Mobile,Yes,High,99.0
ENG000056,CUST0056,Rivalry Match,182,59,Video Ad,0.22,13.9,86,88,84,Smart TV,Yes,Medium,86.7
ENG000057,CUST0057,League Match,134,37,Influencer Promotion,0.13,6.9,61,63,60,Laptop,No,Medium,60.9
ENG000058,CUST0058,League Match,118,34,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.8
ENG000059,CUST0059,Playoffs,212,69,Short Reel,0.29,18.7,91,93,89,Mobile,Yes,High,93.1
ENG000060,CUST0060,League Match,102,26,Banner Ad,0.07,4.1,51,49,47,Laptop,No,Low,47.8
ENG000061,CUST0061,Rivalry Match,188,63,Video Ad,0.24,15.0,89,91,87,Smart TV,Yes,High,90.2
ENG000062,CUST0062,League Match,144,42,Influencer Promotion,0.15,8.7,67,69,65,Mobile,Yes,Medium,67.5
ENG000063,CUST0063,Finals,235,77,Short Reel,0.34,24.7,98,97,96,Mobile,Yes,High,98.6
