purchase_id,customer_id,preferred_shopping_platform,sports_equipment_spending_per_month,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit
PUR000001,CUST0001,Amazon,3200,5,4100,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000002,CUST0002,Flipkart,1800,2,2200,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000003,CUST0003,Brand Website,5400,8,7200,Full Kits,6,Low,0.12,Credit Card,High,Yes
PUR000004,CUST0004,Local Store,900,1,1100,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000005,CUST0005,Amazon,4100,6,5300,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000006,CUST0006,Brand Website,6200,9,8100,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000007,CUST0007,Flipkart,2400,3,3100,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000008,CUST0008,Amazon,3500,5,4700,Bats,4,Medium,0.27,UPI,Medium,Yes
PUR000009,CUST0009,Local Store,1200,1,1500,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000010,CUST0010,Brand Website,5800,8,7600,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR000011,CUST0011,Amazon,2900,4,3900,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR000012,CUST0012,Flipkart,1600,2,2100,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000013,CUST0013,Brand Website,7100,10,9200,Full Kits,8,Low,0.08,Credit Card,High,Yes
PUR000014,CUST0014,Local Store,1000,1,1300,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000015,CUST0015,Amazon,4300,6,5600,Bats,5,Medium,0.22,UPI,Medium,Yes
PUR000016,CUST0016,Brand Website,6400,9,8300,Full Kits,7,Low,0.11,Credit Card,High,Yes
PUR000017,CUST0017,Flipkart,2100,3,2800,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000018,CUST0018,Amazon,3700,5,4900,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000019,CUST0019,Local Store,1300,1,1600,Accessories,1,High,0.55,Cash on Delivery,Low,No
